id,so,ten,ten_en,ten_han,que_thuong,que_ha,hao,tuong,nguon,ghi_chu
26,26,Sơn Thiên Đại Súc,The Taming Power of the Great,大畜,Cấn,Càn,111001,"Trời nằm trong lòng núi, sức lớn được chứa lại.",Chu Dịch,
27,27,Sơn Lôi Di,Nourishment,頤,Cấn,Chấn,100001,"Dưới núi có sấm, hình quẻ trông như hai hàm răng.",Chu Dịch,
28,28,Trạch Phong Đại Quá,Preponderance of the Great,大過,Đoài,Tốn,011110,"Đầm ngập cây, xà nhà cong vì quá tải.",Chu Dịch,
29,29,Thuần Khảm,The Abysmal,坎,Khảm,Khảm,010010,"Nước chồng lên nước, hiểm nối tiếp hiểm.",Chu Dịch,
30,30,Thuần Ly,The Clinging,離,Ly,Ly,101101,"Lửa nối lửa, sáng nương vào vật mà cháy.",Chu Dịch,
31,31,Trạch Sơn Hàm,Influence,咸,Đoài,Cấn,001110,"Đầm trên núi, khí hai bên cảm ứng nhau.",Chu Dịch,
32,32,Lôi Phong Hằng,Duration,恆,Chấn,Tốn,011100,"Sấm và gió cùng đi, lâu dài mà không đổi hướng.",Chu Dịch,
33,33,Thiên Sơn Độn,Retreat,遯,Càn,Cấn,001111,"Trời trên núi, lui về chỗ cao mà giữ mình.",Chu Dịch,
34,34,Lôi Thiên Đại Tráng,The Power of the Great,大壯,Chấn,Càn,111100,"Sấm vang trên trời, khí thế đang lúc mạnh.",Chu Dịch,
35,35,Hỏa Địa Tấn,Progress,晉,Ly,Khôn,000101,"Mặt trời mọc trên đất, ánh sáng dần lan ra.",Chu Dịch,
36,36,Địa Hỏa Minh Di,Darkening of the Light,明夷,Khôn,Ly,101000,"Mặt trời lặn xuống dưới đất, ánh sáng bị che.",Chu Dịch,
37,37,Phong Hỏa Gia Nhân,The Family,家人,Tốn,Ly,101011,"Gió từ lửa mà ra, hơi ấm lan trong nhà.",Chu Dịch,
38,38,Hỏa Trạch Khuê,Opposition,睽,Ly,Đoài,110101,"Lửa bốc lên, đầm chảy xuống, hai bên rẽ lối.",Chu Dịch,
39,39,Thủy Sơn Kiển,Obstruction,蹇,Khảm,Cấn,001010,"Nước trên núi, đường đi vừa dốc vừa trơn.",Chu Dịch,
40,40,Lôi Thủy Giải,Deliverance,解,Chấn,Khảm,010100,"Sấm mưa cùng tới, khí bức bối được giải.",Chu Dịch,
41,41,Sơn Trạch Tổn,Decrease,損,Cấn,Đoài,110001,"Đầm ở dưới núi, bớt chỗ thấp để bồi chỗ cao.",Chu Dịch,
42,42,Phong Lôi Ích,Increase,益,Tốn,Chấn,100011,"Gió sấm giúp nhau, thế mạnh thêm lên.",Chu Dịch,
43,43,Trạch Thiên Quải,Breakthrough,夬,Đoài,Càn,111110,"Đầm dâng lên tới trời, thế nước sắp tràn.",Chu Dịch,
44,44,Thiên Phong Cấu,Coming to Meet,姤,Càn,Tốn,011111,"Gió đi dưới trời, gặp gỡ không hẹn trước.",Chu Dịch,
45,45,Trạch Địa Tụy,Gathering Together,萃,Đoài,Khôn,000110,"Đầm trên đất, nước và người cùng tụ về.",Chu Dịch,
46,46,Địa Phong Thăng,Pushing Upward,升,Khôn,Tốn,011000,"Cây mọc trong lòng đất, vươn lên từng chút.",Chu Dịch,
47,47,Trạch Thủy Khốn,Oppression,困,Đoài,Khảm,010110,"Đầm cạn nước, cây thiếu chỗ nuôi.",Chu Dịch,
48,48,Thủy Phong Tỉnh,The Well,井,Khảm,Tốn,011010,"Nước trong lòng đất, giếng nuôi người mà không dời chỗ.",Chu Dịch,
49,49,Trạch Hỏa Cách,Revolution,革,Đoài,Ly,101110,"Lửa trong đầm, hai khí không dung nhau nên phải đổi.",Chu Dịch,
50,50,Hỏa Phong Đỉnh,The Cauldron,鼎,Ly,Tốn,011101,"Lửa trên gỗ, vạc nấu chín thức ăn.",Chu Dịch,
51,51,Thuần Chấn,The Arousing,震,Chấn,Chấn,100100,"Sấm nối sấm, tiếng động dội liên tiếp.",Chu Dịch,
52,52,Thuần Cấn,Keeping Still,艮,Cấn,Cấn,001001,"Núi chồng lên núi, đứng yên tại chỗ.",Chu Dịch,
53,53,Phong Sơn Tiệm,Gradual Progress,漸,Tốn,Cấn,001011,"Cây mọc trên núi, lớn dần theo năm tháng.",Chu Dịch,
54,54,Lôi Trạch Quy Muội,The Marrying Maiden,歸妹,Chấn,Đoài,110100,"Sấm trên đầm, bước vào cuộc mới ở thế không chủ động.",Chu Dịch,
55,55,Lôi Hỏa Phong,Abundance,豐,Chấn,Ly,101100,"Sấm chớp cùng tới, ánh sáng đang lúc thịnh.",Chu Dịch,
56,56,Hỏa Sơn Lữ,The Wanderer,旅,Ly,Cấn,001101,"Lửa trên núi, ngọn lửa không ở lại lâu một chỗ.",Chu Dịch,
57,57,Thuần Tốn,The Gentle,巽,Tốn,Tốn,011011,"Gió tiếp gió, thấm vào mọi khe hở.",Chu Dịch,
58,58,Thuần Đoài,The Joyous,兌,Đoài,Đoài,110110,"Hai đầm nối nhau, nước thông mà cùng đầy.",Chu Dịch,
59,59,Phong Thủy Hoán,Dispersion,渙,Tốn,Khảm,010011,"Gió thổi trên nước, sóng tan ra bốn phía.",Chu Dịch,
60,60,Thủy Trạch Tiết,Limitation,節,Khảm,Đoài,110010,"Nước trong đầm, có bờ nên không tràn.",Chu Dịch,
61,61,Phong Trạch Trung Phu,Inner Truth,中孚,Tốn,Đoài,110011,"Gió đi trên đầm, lòng thành thấu tới bên kia.",Chu Dịch,
62,62,Lôi Sơn Tiểu Quá,Preponderance of the Small,小過,Chấn,Cấn,001100,"Sấm trên núi, chim bay thấp mà tiếng vọng xa.",Chu Dịch,
63,63,Thủy Hỏa Ký Tế,After Completion,既濟,Khảm,Ly,101010,"Nước trên lửa, mọi hào đều ở đúng vị trí.",Chu Dịch,
64,64,Hỏa Thủy Vị Tế,Before Completion,未濟,Ly,Khảm,010101,"Lửa trên nước, việc còn dở dang chưa qua sông.",Chu Dịch,
