id,chat,so,ten,ten_en,tu_khoa,nghia_xuoi,nghia_nguoc,nguon,ghi_chu
cups-07,cups,7,Bảy Cốc,Seven of Cups,lựa chọn; ảo tưởng; mơ mộng,"Nhiều lựa chọn hấp dẫn bày ra trước mắt, cần tỉnh táo phân biệt thực-ảo.","Sự thật dần sáng tỏ, ảo tưởng tan biến, cần chọn 1 hướng rõ ràng.",Rider-Waite-Smith,
cups-08,cups,8,Tám Cốc,Eight of Cups,buông bỏ; tìm kiếm; thay đổi,Rời bỏ điều quen thuộc để tìm kiếm ý nghĩa sâu sắc hơn.,"Sợ hãi khi phải rời đi, do dự dù đã không còn phù hợp.",Rider-Waite-Smith,
cups-09,cups,9,Chín Cốc,Nine of Cups,mãn nguyện; hài lòng; ước nguyện,"Hài lòng, mãn nguyện, điều ước gần như đã thành hiện thực.","Hài lòng hời hợt, thoả mãn bề ngoài che giấu trống rỗng bên trong.",Rider-Waite-Smith,
cups-10,cups,10,Mười Cốc,Ten of Cups,hạnh phúc; gia đình; viên mãn,"Hạnh phúc trọn vẹn, gia đình hoà thuận, cảm xúc viên mãn.","Rạn nứt trong gia đình, kỳ vọng hạnh phúc chưa thành hiện thực.",Rider-Waite-Smith,
cups-page,cups,11,Cận Vệ Cốc,Page of Cups,trực giác; mộng mơ; tin nhắn,"Trực giác nhạy bén, một tin nhắn hoặc cảm xúc dịu dàng đang đến.","Mơ mộng thái quá, cảm xúc bất ổn, dễ tổn thương.",Rider-Waite-Smith,
cups-knight,cups,12,Hiệp Sĩ Cốc,Knight of Cups,lãng mạn; theo đuổi; quyến rũ,"Lãng mạn, theo đuổi trái tim mình muốn với sự tinh tế và quyến rũ.","Ba hoa sáo rỗng, hứa hẹn nhưng thiếu chân thành.",Rider-Waite-Smith,
cups-queen,cups,13,Nữ Hoàng Cốc,Queen of Cups,thấu cảm; chăm sóc; trực giác,"Thấu cảm sâu sắc, trực giác mạnh mẽ, chăm sóc người xung quanh bằng cả trái tim.","Quá nhạy cảm, dễ bị cảm xúc người khác chi phối.",Rider-Waite-Smith,
cups-king,cups,14,Vua Cốc,King of Cups,điềm tĩnh; khôn ngoan; bao dung,"Điềm tĩnh trước sóng gió cảm xúc, khôn ngoan và bao dung.","Che giấu cảm xúc thật, lạnh lùng hoặc thao túng tình cảm người khác.",Rider-Waite-Smith,
swords-ace,swords,1,Át Kiếm,Ace of Swords,sự thật; đột phá; minh bạch,"Sự thật hiện ra rõ ràng, một ý tưởng đột phá cắt qua mọi rối ren.","Tư duy hỗn loạn, thông tin sai lệch gây hiểu lầm.",Rider-Waite-Smith,
swords-02,swords,2,Hai Kiếm,Two of Swords,do dự; cân bằng; quyết định,"Đứng giữa 2 lựa chọn khó, cần bình tĩnh cân nhắc trước khi quyết định.","Bế tắc kéo dài, né tránh sự thật để khỏi phải chọn.",Rider-Waite-Smith,
swords-03,swords,3,Ba Kiếm,Three of Swords,tổn thương; chia ly; đau lòng,"Tổn thương, đau lòng vì chia ly hoặc sự thật phũ phàng.","Vết thương đang lành, học cách tha thứ và chữa lành.",Rider-Waite-Smith,
swords-04,swords,4,Bốn Kiếm,Four of Swords,nghỉ ngơi; phục hồi; tĩnh lặng,"Nghỉ ngơi, phục hồi sau giai đoạn căng thẳng, tạm lánh xa ồn ào.","Miễn cưỡng nghỉ ngơi, kiệt sức vì không chịu dừng lại đúng lúc.",Rider-Waite-Smith,
swords-05,swords,5,Năm Kiếm,Five of Swords,xung đột; thắng thua; mất mát,"Chiến thắng bằng mọi giá, nhưng cái giá phải trả là mối quan hệ.","Căng thẳng hạ nhiệt, sẵn sàng buông bỏ hiềm khích để hoà giải.",Rider-Waite-Smith,
swords-06,swords,6,Sáu Kiếm,Six of Swords,chuyển tiếp; rời đi; bình yên,"Rời xa sóng gió, hướng về vùng nước lặng và bình yên hơn.","Khó rời khỏi khó khăn, mắc kẹt trong tình huống cũ.",Rider-Waite-Smith,
swords-07,swords,7,Bảy Kiếm,Seven of Swords,chiến lược; lén lút; mưu mẹo,"Chiến lược khôn khéo, có thể là hành động lén lút hoặc không hoàn toàn trung thực.","Bị phát hiện, hối hận vì đã không thẳng thắn.",Rider-Waite-Smith,
swords-08,swords,8,Tám Kiếm,Eight of Swords,mắc kẹt; giới hạn; nỗi sợ,"Cảm giác bị mắc kẹt, nhưng giới hạn phần lớn đến từ chính suy nghĩ.",Bắt đầu tự giải thoát khỏi nỗi sợ hãi trong đầu.,Rider-Waite-Smith,
swords-09,swords,9,Chín Kiếm,Nine of Swords,lo âu; mất ngủ; ám ảnh,"Lo âu, mất ngủ vì suy nghĩ tiêu cực xoay vòng trong đầu.","Nỗi lo bắt đầu vơi đi, nhìn nhận vấn đề bớt bi quan hơn.",Rider-Waite-Smith,
swords-10,swords,10,Mười Kiếm,Ten of Swords,kết thúc; chạm đáy; dứt khoát,"Chạm đáy khó khăn, một kết thúc đau đớn nhưng dứt khoát.","Cố kéo dài điều đã kết thúc, chậm phục hồi sau tổn thất.",Rider-Waite-Smith,
swords-page,swords,11,Cận Vệ Kiếm,Page of Swords,tò mò; quan sát; tin tức,"Tò mò quan sát, cảnh giác trước tin tức hoặc sự thật mới.","Nói nhiều hơn suy nghĩ, hành động thiếu chín chắn.",Rider-Waite-Smith,
swords-knight,swords,12,Hiệp Sĩ Kiếm,Knight of Swords,quyết đoán; nhanh nhẹn; táo bạo,"Hành động quyết đoán, lao thẳng vào mục tiêu không ngại va chạm.","Nóng vội, hấp tấp, hành động thiếu suy xét gây hậu quả.",Rider-Waite-Smith,
swords-queen,swords,13,Nữ Hoàng Kiếm,Queen of Swords,sắc sảo; thẳng thắn; độc lập,"Sắc sảo, thẳng thắn, nhìn thấu sự việc bằng lý trí độc lập.","Lời nói cay nghiệt, lạnh lùng quá mức làm tổn thương người khác.",Rider-Waite-Smith,
swords-king,swords,14,Vua Kiếm,King of Swords,lý trí; công bằng; quyền uy,"Lý trí, công bằng, dùng trí tuệ để đưa ra quyết định sáng suốt.","Lạm dụng quyền lực trí tuệ, phán xét khắt khe, thiếu cảm thông.",Rider-Waite-Smith,
pentacles-ace,pentacles,1,Át Tiền,Ace of Pentacles,cơ hội; khởi đầu; tài chính,"Cơ hội vật chất mới mở ra, khởi đầu thuận lợi cho tài chính hoặc sự nghiệp.","Cơ hội bị bỏ lỡ, thiếu chuẩn bị hoặc kế hoạch chưa vững.",Rider-Waite-Smith,
pentacles-02,pentacles,2,Hai Tiền,Two of Pentacles,cân bằng; linh hoạt; ưu tiên,"Cân bằng khéo léo nhiều việc cùng lúc, linh hoạt thích nghi với thay đổi.","Quá tải vì ôm đồm, mất cân bằng giữa các ưu tiên.",Rider-Waite-Smith,
pentacles-03,pentacles,3,Ba Tiền,Three of Pentacles,hợp tác; xây dựng; nền tảng,"Hợp tác nhóm hiệu quả, cùng xây dựng nền tảng vững chắc.","Thiếu phối hợp, mâu thuẫn trong công việc chung.",Rider-Waite-Smith,
pentacles-04,pentacles,4,Bốn Tiền,Four of Pentacles,an toàn; bám giữ; ổn định,"Bám giữ của cải để cảm thấy an toàn, ổn định tài chính.",Keo kiệt quá mức hoặc sợ mất mát khiến khó buông tay.,Rider-Waite-Smith,
pentacles-05,pentacles,5,Năm Tiền,Five of Pentacles,khó khăn; thiếu thốn; cô đơn,"Khó khăn tài chính hoặc cảm giác bị bỏ rơi, đơn độc.","Bắt đầu hồi phục sau giai đoạn khó khăn, tìm được sự hỗ trợ.",Rider-Waite-Smith,
pentacles-06,pentacles,6,Sáu Tiền,Six of Pentacles,hào phóng; chia sẻ; cho nhận,"Cho và nhận hào phóng, chia sẻ nguồn lực với người cần giúp đỡ.","Cho đi có điều kiện, hoặc phụ thuộc quá nhiều vào người khác.",Rider-Waite-Smith,
pentacles-07,pentacles,7,Bảy Tiền,Seven of Pentacles,kiên nhẫn; đầu tư; chờ đợi,"Kiên nhẫn chờ đợi thành quả, nhìn lại công sức đã bỏ ra.","Nóng lòng muốn có kết quả ngay, thiếu kiên nhẫn đầu tư dài hạn.",Rider-Waite-Smith,
pentacles-08,pentacles,8,Tám Tiền,Eight of Pentacles,cần mẫn; rèn luyện; tập trung,"Cần mẫn rèn luyện kỹ năng, tập trung hoàn thiện tay nghề.","Làm việc hời hợt, thiếu tận tâm hoặc chán nản với công việc.",Rider-Waite-Smith,
pentacles-09,pentacles,9,Chín Tiền,Nine of Pentacles,độc lập; thành quả; hưởng thụ,"Độc lập tài chính, tận hưởng thành quả từ nỗ lực của chính mình.","Phụ thuộc tài chính vào người khác, thành quả chưa trọn vẹn.",Rider-Waite-Smith,
pentacles-10,pentacles,10,Mười Tiền,Ten of Pentacles,di sản; thịnh vượng; gia đình,"Di sản bền vững, thịnh vượng lâu dài, nền tảng gia đình vững chắc.","Bất ổn tài chính trong gia đình, tranh chấp về của cải.",Rider-Waite-Smith,
pentacles-page,pentacles,11,Cận Vệ Tiền,Page of Pentacles,ham học; cơ hội; cẩn trọng,"Ham học hỏi, cơ hội thực tế mới đang chờ được khám phá.","Thiếu tập trung, trì hoãn kế hoạch học tập hoặc công việc.",Rider-Waite-Smith,
pentacles-knight,pentacles,12,Hiệp Sĩ Tiền,Knight of Pentacles,chăm chỉ; kiên trì; đáng tin,"Chăm chỉ, đáng tin cậy, kiên trì từng bước hướng tới mục tiêu dài hạn.","Trì trệ, ngại thay đổi, làm việc theo lối mòn.",Rider-Waite-Smith,
pentacles-queen,pentacles,13,Nữ Hoàng Tiền,Queen of Pentacles,chu đáo; thực tế; chăm lo,"Chu đáo, thực tế, chăm lo tổ ấm và những người mình yêu thương.","Quá lo lắng cho vật chất, xao nhãng nhu cầu cảm xúc.",Rider-Waite-Smith,
pentacles-king,pentacles,14,Vua Tiền,King of Pentacles,thành đạt; ổn định; hào phóng,"Thành đạt, ổn định tài chính vững vàng, hào phóng đúng mực với người xung quanh.","Ám ảnh vật chất, coi trọng tiền bạc hơn giá trị con người.",Rider-Waite-Smith,
