id,bo,chu_de,muc_do,diem,o_day,cach_khac,pho_bien_o,he_qua,nguon,ghi_chu
batdong-011,tam-tai-kim-lau-hoang-oc,Xem tuổi làm nhà,quy ước,Cách đếm tuổi mụ,Năm xem trừ năm sinh cộng một,Đếm theo năm âm lịch đã qua Tết,Cách đầu phổ biến nhất ở Việt Nam,"Người sinh từ đầu tháng 1 dương tới trước Tết ra hai con số tuổi mụ khác nhau, và cả ba hạn đổi theo.","Nhật Nguyệt, rút từ ghi chú của chính bộ tam-tai-kim-lau-hoang-oc",
batdong-012,ngay-ky-dan-gian-2026-2035,Ngày kỵ,quy ước,Cách tính ngày Thọ Tử,"Trả cả hai: xét đủ can lẫn chi nên mỗi tháng âm một ngày, và xét riêng chi nên nhiều ngày hơn",Nhiều nơi chỉ trả một trong hai mà không nói là cách nào,Cả hai đều có trong các bản lịch vạn niên đang lưu hành,"Cùng một tháng âm, hai cách cho số ngày kỵ khác hẳn nhau.","Nhật Nguyệt, rút từ ghi chú của chính bộ ngay-ky-dan-gian-2026-2035",
batdong-013,ngay-ky-dan-gian-2026-2035,Ngày kỵ,quy ước,Tháng nhuận dùng bảng nào,Dùng chung bảng với tháng chính,Xét theo tháng trước đó,Vài phái dùng cách sau,Ngày kỵ trong tháng nhuận khác nhau giữa hai cách; cột ghi_chu đánh dấu những ngày ấy.,"Nhật Nguyệt, rút từ ghi chú của chính bộ ngay-ky-dan-gian-2026-2035",
batdong-014,lich-am-duong-1900-2100,Lịch pháp,múi giờ,Múi giờ dùng để tính điểm sóc,"UTC+7, tức quy ước lịch Việt Nam","UTC+8, tức lịch Trung Quốc",Việt Nam dùng UTC+7 từ năm 1968,"Cùng một ngày dương có thể rơi vào ngày âm khác giữa hai lịch, và chênh lệch ấy có thật ở những ngày sát điểm sóc.","Nhật Nguyệt, rút từ ghi chú của chính bộ lich-am-duong-1900-2100",
batdong-015,24-tiet-khi,Tiết khí,múi giờ,Ngày ghi cho mốc giao tiết rơi sát nửa đêm,Theo giờ Việt Nam,Theo giờ Trung Quốc,Lịch Trung Quốc dùng UTC+8,"Mốc giao tiết sát nửa đêm thì hai lịch ghi lệch nhau một ngày. Tiết khí là hiện tượng tính được, nên khác biệt chỉ đến từ múi giờ chứ không từ cách tính.","Nhật Nguyệt, rút từ ghi chú của chính bộ 24-tiet-khi",
batdong-016,moc-tiet-khi-1900-2100,Tiết khí,sai số,Độ chính xác của mốc theo phút,"Sai số 4 tới 14 phút, LUÔN SỚM HƠN giá trị thiên văn",Lịch thiên văn đầy đủ cho mốc chính xác tới giây,"Đối chiếu ba mốc kiểm được độc lập của năm 2026: Xuân Phân lệch 14 phút, Hạ Chí 9 phút, Đông Chí 4 phút","Đủ để xác định NGÀY của tiết khí, chưa đủ để gọi là chính xác tới phút. Công bố sai số thay vì gắn nhãn chính xác.","Nhật Nguyệt, rút từ ghi chú của chính bộ moc-tiet-khi-1900-2100",
batdong-017,12-truc,Thập nhị trực,quy ước,Việc nên làm và nên tránh của mỗi trực,"Giữ đúng lối nói của lịch vạn niên, không diễn giải rộng thêm",Các bản lịch vạn niên xếp việc nên làm hơi khác nhau,"Khác nhiều nhất ở nhóm trực Phá, Nguy, Bế","Cùng một ngày, hai cuốn lịch có thể khuyên ngược nhau về cùng một việc.","Nhật Nguyệt, rút từ ghi chú của chính bộ 12-truc",
batdong-018,thuoc-lo-ban,Thước Lỗ Ban,quy ước,Cách chia cung nhỏ trong mỗi cung lớn,"Chia đều chu kỳ cho số cung, đúng cách các thước bán trên thị trường vạch",Một số bản sách chia cung nhỏ không đều nhau,Thước bán trên thị trường chia đều,Tên cung nhỏ chỉ để tham khảo; một kích thước sát ranh giới có thể rơi vào hai cung khác nhau giữa hai cách chia.,"Nhật Nguyệt, rút từ ghi chú của chính bộ thuoc-lo-ban",
batdong-019,thuoc-lo-ban,Thước Lỗ Ban,quy ước,Dùng thước nào cho kích thước nào,"Ba thước cho ba loại kích thước khác nhau, chia cung khác nhau",,,"Một kích thước có thể rơi vào cung đẹp trên thước này mà cung xấu trên thước kia, nên phải nói rõ đang dùng thước nào.","Nhật Nguyệt, rút từ ghi chú của chính bộ thuoc-lo-ban",
batdong-020,le-hoi-viet-nam,Lễ hội,quy ước,Ngày tổ chức của lễ hội vùng miền,Ghi ngày phổ biến nhất,Nhiều địa phương tổ chức vào ngày khác,Khác nhau theo từng địa phương,Ngày ghi ở đây có thể không trùng ngày của một làng cụ thể.,"Nhật Nguyệt, rút từ ghi chú của chính bộ le-hoi-viet-nam",
