id,ten,ten_en,loai_ngay,ngay_am,ngay_duong,ngay_nghi_le,nhom,muc_do,ngay_truoc,ngay_sau,lich_cong_bo,mo_ta,nguon,ghi_chu
hoi-giong-den-soc,Hội Gióng đền Sóc,"Gióng Festival, Sóc Temple",lunar,6/1,,khong,tin-nguong,major,0,0,,"Hội Gióng đền Sóc được tổ chức từ ngày 6 đến 8 tháng Giêng tại xã Phù Linh, Sóc Sơn, tưởng nhớ Thánh Gióng, vị anh hùng đánh giặc Ân, nơi ngài hóa trước khi về trời. Lễ hội đã được UNESCO công nhận là di sản văn hóa phi vật thể đại diện của nhân loại năm 2010.",bien-tap,
hoi-hang-pinh,Hội Háng Pỉnh,Hang Pinh Mid-Autumn Cake Market (Lang Son),lunar,12/8,,khong,tin-nguong,minor,0,0,"2026: 2026-09-22 đến 2026-09-22, chính lễ 2026-09-22, https://www.vietnam.vn/cac-hoat-dong-trong-khuon-kho-hoi-hang-pinh-nam-2026","Hội chợ bánh nướng dịp Trung thu của người Tày, Nùng xứ Lạng, theo lệ họp ngày 12 tháng 8 âm lịch ở chợ Kỳ Lừa, có hát sli, thưởng bánh và trò chơi dân gian.",bien-tap,
hoi-lim,Hội Lim,Hội Lim (Lim Festival),lunar,13/1,,khong,tin-nguong,major,1,1,,"Hội Lim là lễ hội quan họ lớn nhất vùng Kinh Bắc, diễn ra chính vào ngày 13 tháng Giêng tại đồi Lim, huyện Tiên Du, gồm tế lễ và hát quan họ đối đáp giữa các liền anh, liền chị.",bien-tap,
hoi-vat-lang-sinh,Hội vật làng Sình,Làng Sình Wrestling Festival,lunar,10/1,,khong,tin-nguong,minor,0,0,,"Hội vật làng Sình diễn ra trọn một ngày mùng 10 tháng Giêng ở đình làng Lại Ân, có từ thời chúa Nguyễn. Sau lễ tế Thành hoàng, bất kỳ khán giả nào cũng được đăng ký lên sới vật.",bien-tap,
hoi-xuan-chua-keo,Hội Xuân chùa Keo,Chùa Keo Spring Festival,lunar,4/1,,khong,tin-nguong,minor,0,4,,"Hội xuân ở chùa Keo mở từ mùng 4 tháng Giêng, với lễ khai chỉ, múa rối chầu Thánh và lễ tế ở Giá Roi. Phần hội có thi thổi cơm, bắt vịt dưới hồ, hát chèo thuyền, đánh trống bịt mắt. Đây là hội mùa xuân, khác hội chùa Keo mùa thu tháng Chín.",bien-tap,
khai-hoi-chua-bai-dinh,Khai hội chùa Bái Đính,Bái Đính Pagoda Festival Opening,lunar,6/1,,khong,tin-nguong,minor,0,0,,"Lễ khai hội chùa Bái Đính diễn ra mùng 6 tháng Giêng và mùa hội kéo dài tới hết tháng Ba âm lịch. Phần lễ tưởng nhớ Quốc sư Nguyễn Minh Không, tế thần Cao Sơn và chầu Mẫu Thượng Ngàn; phần hội có rước kiệu lên chùa cổ.",bien-tap,
le-cac-thanh-tu-dao-viet-nam,Lễ Các Thánh Tử đạo Việt Nam,Feast of the Vietnamese Martyrs,solar,,24/11,khong,tin-nguong,minor,0,0,,"Ngày 24 tháng 11 là lễ trọng kính 117 Thánh Tử đạo Việt Nam, được Giáo hoàng Gioan Phaolô II tôn phong hiển thánh năm 1988, và là lễ bổn mạng của Giáo hội Công giáo Việt Nam. Các giáo xứ cử hành thánh lễ; tại Trung tâm hành hương Các Thánh Tử đạo Việt Nam ở Sở Kiện có tuần hành hương từ 17 đến 24/11, các giáo phận thay phiên nhau về dự.",bien-tap,
le-giang-sinh,Lễ Giáng sinh,Christmas,solar,,25/12,khong,tin-nguong,major,0,0,,"Lễ mừng Chúa Giáng sinh của người Công giáo: lễ vọng đêm 24/12 và lễ chính ngày 25/12. Ở Việt Nam, Noel còn là dịp chung của cả người không theo Công giáo, nhất là ở các thành phố lớn.",bien-tap,
le-gio-anh-hung-dan-toc-truong-dinh,Lễ giỗ Anh hùng dân tộc Trương Định,Memorial of National Hero Trương Định,solar,,20/8,khong,tin-nguong,minor,0,0,"2026: 2026-08-18 đến 2026-08-20, chính lễ 2026-08-18, https://baodongthap.vn/phuong-go-cong-san-sang-cho-le-tuong-niem-anh-hung-dan-toc-truong-dinh-a244336.html","Lễ giỗ Bình Tây Đại nguyên soái Trương Định, người lãnh đạo nghĩa quân Gò Công chống Pháp, tuẫn tiết ngày 20/8/1864. Lễ được giữ theo ngày dương lịch, có rước linh, dâng hoa tại tượng đài, tế lễ ở đền thờ và đình Gia Thuận. Là di sản văn hóa phi vật thể quốc gia.",bien-tap,
le-gio-ba-phi-yen,Lễ giỗ bà Phi Yến,Commemoration of Lady Phi Yến,lunar,18/10,,khong,tin-nguong,minor,1,0,,"Người dân Côn Đảo làm giỗ bà Phi Yến ngày 18 tháng Mười âm lịch tại An Sơn Miếu: từ đêm 17 đã bày cúng và đãi khách, lễ chính sáng 18 gồm tế lễ, dâng hương, rước bài vị. Theo truyền ngôn, bà tên thật là Lê Thị Răm và mất ở Côn Đảo năm 1785; giới sử học còn băn khoăn về thân thế của bà, nên Bộ VHTTDL đã bỏ chữ “thứ phi” khỏi tên di sản. Đây là lễ hội dân gian lớn nhất trong năm ở Côn Đảo, vào Danh mục di sản văn hóa phi vật thể quốc gia năm 2022.",bien-tap,
le-gio-dai-thi-hao-nguyen-du,Lễ giỗ Đại thi hào Nguyễn Du,Death Anniversary of Great Poet Nguyen Du,lunar,10/8,,khong,tin-nguong,minor,0,0,"2026: 2026-09-20 đến 2026-09-20, chính lễ 2026-09-20, https://baohatinh.vn/trang-trong-le-gio-lan-thu-206-cua-dai-thi-hao-nguyen-du-tai-ha-tinh-post317457.html","Lễ giỗ lần thứ 206 tổ chức ngày 20/9/2026 (10/8 âm), dâng hương tại mộ và nhà thờ, do dòng họ Nguyễn Tiên Điền thực hiện nghi lễ.",bien-tap,
le-gio-hoang-de-quang-trung,Lễ giỗ Hoàng đế Quang Trung,Death Anniversary of Emperor Quang Trung,lunar,29/7,,khong,tin-nguong,minor,0,0,"2026: 2026-09-10 đến 2026-09-10, chính lễ 2026-09-10, https://thanhnien.vn/le-gio-hoang-de-quang-trung-nam-2026-co-gi-dac-biet-185260904142829476.htm","Lễ giỗ lần thứ 234 của Hoàng đế Quang Trung Nguyễn Huệ tổ chức ngày 10/9/2026, tức 29 tháng Bảy âm, tại Bảo tàng Quang Trung.",bien-tap,
le-gio-le-thanh-hau-nguyen-huu-canh,Lễ giỗ Lễ Thành hầu Nguyễn Hữu Cảnh,Memorial of Lễ Thành Hầu Nguyễn Hữu Cảnh,lunar,16/5,,khong,tin-nguong,minor,1,0,"2026: 2026-06-30 đến 2026-06-30, chính lễ 2026-06-30, https://www.sggp.org.vn/dong-nai-to-chuc-le-gio-le-thanh-hau-nguyen-huu-canh-post859939.html","Lễ giỗ danh tướng Nguyễn Hữu Cảnh (1650 tới 1700), người được chúa Nguyễn Phúc Chu cử vào kinh lược phương Nam năm 1698, lập làng và dựng bộ máy hành chính cho vùng Đồng Nai, Gia Định. Lễ theo điển lệ cúng đình truyền thống ngày 15 và 16 tháng Năm âm lịch. Di sản văn hóa phi vật thể quốc gia năm 2025.",bien-tap,
le-gio-ta-quan-le-van-duyet,Lễ giỗ Tả quân Lê Văn Duyệt,Death Anniversary of Tả quân Lê Văn Duyệt,lunar,1/8,,khong,tin-nguong,minor,1,1,,"Lễ giỗ ở lăng Ông Bà Chiểu, nơi yên nghỉ của Tả quân Lê Văn Duyệt, hai lần làm Tổng trấn Gia Định. Lễ kéo dài ba ngày từ 30 tháng Bảy tới mùng 2 tháng Tám âm lịch, có dâng rượu trầu, phát quà, hát bội.",bien-tap,
le-gio-uy-vien-tuong-cong-nguyen-cong-tru,Lễ giỗ Uy Viễn tướng công Nguyễn Công Trứ,Death Anniversary of Nguyen Cong Tru,lunar,14/11,,khong,tin-nguong,minor,0,0,,Nguyễn Công Trứ mất ngày 14 tháng Mười một năm Mậu Ngọ (1858) tại quê Uy Viễn; lễ giỗ tổ chức hằng năm vào ngày này tại nhà thờ ông.,bien-tap,
le-ha-nguon-va-ky-niem-ngay-khai-dao-cao-dai,Lễ Hạ Ngươn và kỷ niệm ngày Khai Đạo Cao Đài,Cao Đài Hạ Ngươn Festival and Founding Day,lunar,15/10,,khong,tin-nguong,minor,0,0,,"Rằm tháng Mười âm lịch, Hội Thánh Cao Đài Tòa Thánh Tây Ninh làm lễ Hạ Ngươn gắn với kỷ niệm ngày Khai Đạo: lễ khai minh Đại Đạo Tam Kỳ Phổ Độ diễn ra ngày 15 tháng 10 năm Bính Dần (19/11/1926) tại Thánh thất Từ Lâm Tự (Gò Kén, Tây Ninh). Tín đồ từ nhiều tỉnh về Tòa Thánh dự lễ, và lãnh đạo địa phương thường đến chúc mừng Hội Thánh nhân dịp này.",bien-tap,
le-hoi-anh-sang-bien-cuong-lan-thu-nhat,Lễ hội Ánh sáng biên cương lần thứ nhất,Border Light Festival (Lang Son),theo-nam,,,khong,tin-nguong,minor,0,0,"2026: 2026-09-19 đến 2026-09-20, chính lễ 2026-09-19, https://congluan.vn/lang-son-lan-dau-to-chuc-le-hoi-anh-sang-bien-cuong-trong-2-ngay-19-209-post360568.html","Lễ hội đèn dịp Trung thu lần đầu tổ chức ở Lạng Sơn, có diễu hành 8 mô hình đèn lớn và 14 mô hình của các xã phường, trong đó có mô hình đàn tính của người Tày, Nùng.",bien-tap,
le-hoi-ao-dai-thanh-pho-ho-chi-minh,Lễ hội Áo dài Thành phố Hồ Chí Minh,Hồ Chí Minh City Áo Dài Festival,theo-nam,,,khong,khac,minor,0,0,"2026: 2026-03-01 đến 2026-03-31, chính lễ 2026-03-01, https://thanhnien.vn/khai-mac-le-hoi-ao-dai-tphcm-2026-soi-to-vang-son-det-khat-vong-thanh-pho-185260307091540592.htm","Lễ hội tôn vinh áo dài do Sở Du lịch và Hội Liên hiệp Phụ nữ TP.HCM tổ chức suốt tháng Ba, gắn với Ngày Quốc tế Phụ nữ. Có đêm khai mạc trên phố đi bộ Nguyễn Huệ, đồng diễn và diễu hành áo dài cùng chuỗi hoạt động ở di tích, ga metro và khách sạn.",bien-tap,
le-hoi-ba-chua-kho,Lễ hội Đền Bà Chúa Kho,Bà Chúa Kho Temple Festival,lunar,14/1,,khong,tin-nguong,major,0,0,,"Lễ hội Đền Bà Chúa Kho diễn ra vào ngày 14 tháng Giêng tại Cổ Mễ, TP Bắc Ninh, tưởng nhớ Bà Chúa Kho, người có công giữ kho lương cho quân đội thời Lý và hy sinh trên chiến tuyến Như Nguyệt. Đây là điểm cầu tài lộc nổi tiếng đầu năm.",bien-tap,
le-hoi-ba-thu-bon,Lễ hội Bà Thu Bồn,Bà Thu Bồn Festival,lunar,12/2,,khong,tin-nguong,minor,2,0,,"Các làng ven sông Thu Bồn cùng mở hội từ 10 tới 12 tháng Hai, lớn nhất ở làng Thu Bồn nơi có Dinh Bà. Có lễ rước sắc, rước nước, đua thuyền, cầu mùa màng và quốc thái dân an. Di sản văn hóa phi vật thể quốc gia.",bien-tap,
le-hoi-bach-dang,Lễ hội Bạch Đằng,Bạch Đằng Festival,lunar,8/3,,khong,tin-nguong,minor,2,0,,"Lễ hội từ mùng 6 tới mùng 8 tháng Ba, ngày giỗ trận Bạch Đằng, tưởng nhớ các anh hùng trên sông Bạch Đằng năm 938 và 1288. Tế chính hội ở đền Trần Hưng Đạo, cùng lễ rước qua miếu Vua Bà, đình Yên Giang. Di sản văn hóa phi vật thể quốc gia.",bien-tap,
le-hoi-cau-ngu-man-mua-o-van-thuy-tu,Lễ hội Cầu ngư mãn mùa ở Vạn Thủy Tú,End-of-Season Whale Worship Festival at Van Thuy Tu,lunar,23/8,,khong,tin-nguong,minor,0,0,,"Vạn Thủy Tú có ba kỳ cầu ngư mỗi năm: đầu mùa 20/4, chính mùa 19-22/6 và mãn mùa 23/8 âm lịch; dinh lưu giữ hơn 100 bộ xương cá Ông.",bien-tap,
le-hoi-cho-tinh-khau-vai,Lễ hội Chợ tình Khâu Vai,Khâu Vai Love Market Festival,lunar,27/3,,khong,khac,major,1,0,"2026: 2026-05-12 đến 2026-05-13, chính lễ 2026-05-12, https://dantocphattrien.vietnamnet.vn/le-hoi-cho-tinh-khau-vai-nam-2026-se-duoc-to-chuc-vao-trung-tuan-thang-5-74615.html","Phiên chợ hình thành từ năm 1919, mỗi năm chỉ họp một lần vào ngày 27 tháng Ba âm lịch, gắn với truyện tình chàng Ba người Nùng và nàng Út người Giáy. Người vùng cao về đây gặp lại bạn cũ, hát giao duyên và viếng miếu.",bien-tap,
le-hoi-choi-trau-do-son,Lễ hội Chọi trâu Đồ Sơn,Đồ Sơn Buffalo Fighting Festival,lunar,9/8,,khong,tin-nguong,minor,0,0,"2026: 2026-09-19 đến 2026-09-19, chính lễ 2026-09-19, https://vtv.vn/truc-tiep-chung-ket-le-hoi-choi-trau-do-son-vtv-2026-100260919081845702.htm","Lễ hội truyền thống của ngư dân vùng biển Đồ Sơn, chung kết diễn ra vào ngày 9 tháng 8 âm lịch với các trận đấu trâu, sau đó trâu thắng được dùng làm vật hiến tế cầu mùa; là Di sản văn hóa phi vật thể quốc gia.",bien-tap,
le-hoi-chu-dong-tu-tien-dung,"Lễ hội Chử Đồng Tử, Tiên Dung",Chử Đồng Tử and Tiên Dung Festival,lunar,10/2,,khong,tin-nguong,minor,0,2,,"Lễ hội đền Đa Hòa, Dạ Trạch thờ Chử Đồng Tử và công chúa Tiên Dung, diễn ra 10 tới 12 tháng Hai âm lịch. Hội lớn đủ chín làng ba năm mới tổ chức một lần.",bien-tap,
le-hoi-chua-ba-thien-hau-thu-dau-mot,Lễ hội chùa Bà Thiên Hậu Thủ Dầu Một,"Thiên Hậu Temple Festival, Thủ Dầu Một",lunar,15/1,,khong,tin-nguong,major,1,0,,Lễ hội Rằm tháng Giêng ở miếu Bà Thiên Hậu do bốn bang Hoa lập hơn trăm năm trước là một trong những lễ hội tín ngưỡng lớn nhất Nam Bộ. Điểm nhấn là lễ rước kiệu Bà qua phố với hàng chục đoàn lân sư rồng và xe hoa.,bien-tap,
le-hoi-chua-co-le,Lễ hội chùa Cổ Lễ,Cổ Lễ Pagoda Festival,lunar,14/9,,khong,tin-nguong,minor,1,2,,"Lễ hội ở chùa Cổ Lễ (Thần Quang tự) diễn ra từ 13 đến 16 tháng Chín âm lịch, chính hội ngày 14 là ngày hóa của Đức Thánh Tổ Nguyễn Minh Không, vị thiền sư được thờ tại chùa. Phần lễ có rước Phật, rước Thánh Tổ; phần hội nổi tiếng nhất là thi bơi chải của các dòng họ trong làng trên sông, bên cạnh hát chèo, hát văn, đấu vật. Lễ hội có tên trong Danh mục di sản văn hóa phi vật thể quốc gia từ năm 2023.",bien-tap,
le-hoi-chua-dau,Lễ hội chùa Dâu,Chùa Dâu Festival,lunar,8/4,,khong,tin-nguong,minor,0,0,,"Hội chùa Dâu mùng 8 tháng Tư do 12 làng của hương Dâu, Luy Lâu cũ tổ chức ở ngôi chùa được xem là cổ nhất Việt Nam. Linh hồn của hội là rước Phật Tứ Pháp từ các chùa làng về chùa Dâu, với tục mẹ đuổi con.",bien-tap,
le-hoi-chua-huong,Lễ hội Chùa Hương,Perfume Pagoda Festival,lunar,6/1,,khong,tin-nguong,major,0,0,,"Lễ hội Chùa Hương là lễ hội hành hương lớn nhất miền Bắc, khai hội vào ngày mùng 6 tháng Giêng tại sân chùa Thiên Trù và kéo dài đến hết tháng 3 âm lịch.",bien-tap,
le-hoi-chua-keo-hanh-thien,Lễ hội chùa Keo Hành Thiện,Keo Hanh Thien Pagoda Festival,lunar,10/9,,khong,tin-nguong,minor,0,6,,"Hội thờ Thiền sư Dương Không Lộ, có bơi chải đứng ngày 12 và 15 tháng 9 âm lịch cùng các trò đếm tôm, bắt vịt, cờ người; khác với hội chùa Keo ở Thái Bình cũ.",bien-tap,
le-hoi-chua-keo-mua-thu,Lễ hội chùa Keo mùa Thu,Keo Pagoda Autumn Festival,lunar,15/9,,khong,tin-nguong,minor,5,0,"2026: 2026-10-19 đến 2026-10-24, chính lễ 2026-10-24, https://www.vietnamplus.vn/ron-rang-le-hoi-chua-keo-mua-thu-nam-2026-post1137736.vnp","Hội mùa Thu chùa Keo tưởng niệm Thiền sư Dương Không Lộ, diễn ra 10 tới 15 tháng Chín âm lịch với rước kiệu và thi bơi chải trên sông.",bien-tap,
le-hoi-chua-ong-cu-lao-pho,Lễ hội chùa Ông cù lao Phố,"Chùa Ông Festival, Cù lao Phố",lunar,10/1,,khong,tin-nguong,minor,0,3,,"Lễ hội tại Thất Phủ cổ miếu, ngôi chùa thờ Quan Thánh Đế Quân dựng năm 1684 bên sông Đồng Nai. Điểm nhấn là lễ Nghinh thần quanh chợ Biên Hòa, cùng đờn ca tài tử, lân sư rồng, thư pháp Việt Hoa. Di sản văn hóa phi vật thể quốc gia năm 2023.",bien-tap,
le-hoi-chua-thay,Lễ hội chùa Thầy,Chùa Thầy Festival,lunar,7/3,,khong,tin-nguong,minor,2,0,,"Lễ hội tiêu biểu của xứ Đoài, tưởng nhớ thiền sư Từ Đạo Hạnh thời Lý, người được xem là ông tổ múa rối nước. Chính hội mùng 5 tới mùng 7 tháng Ba, có múa rối nước ở thủy đình và nhiều trò chơi dân gian.",bien-tap,
le-hoi-co-loa,Lễ hội Cổ Loa,Cổ Loa Festival,lunar,6/1,,khong,tin-nguong,minor,0,0,,"Lễ hội Cổ Loa được tổ chức vào ngày mùng 6 tháng Giêng tại khu di tích Cổ Loa, tưởng nhớ vua An Dương Vương, người lập nên nhà nước Âu Lạc và xây thành Cổ Loa.",bien-tap,
le-hoi-con-son-kiep-bac-mua-thu,"Lễ hội Côn Sơn, Kiếp Bạc mùa Thu",Côn Sơn and Kiếp Bạc Autumn Festival,lunar,20/8,,khong,tin-nguong,major,0,0,"2026: 2026-09-26 đến 2026-10-04, chính lễ 2026-09-30, https://baophapluat.vn/le-hoi-con-son-kiep-bac-mua-thu-2026-mua-hoi-dau-tien-trong-khong-gian-di-san-the-gioi.html","Mùa hội Thu của khu di tích Côn Sơn, Kiếp Bạc, lấy ngày giỗ Đức Thánh Trần Hưng Đạo 20 tháng Tám âm lịch làm chính hội. Khu di tích thuộc quần thể Yên Tử, Vĩnh Nghiêm, Côn Sơn, Kiếp Bạc, được UNESCO ghi danh Di sản thế giới năm 2025.",bien-tap,
le-hoi-con-son-kiep-bac-mua-xuan,"Lễ hội Côn Sơn, Kiếp Bạc mùa Xuân",Côn Sơn and Kiếp Bạc Spring Festival,lunar,18/1,,khong,tin-nguong,minor,8,5,,"Hội mùa xuân ở khu di tích Côn Sơn, Kiếp Bạc gồm lễ tế ở đền Nguyễn Trãi, đền thờ Trần Nguyên Đán và lễ giỗ Đệ Tam Tổ Trúc Lâm Huyền Quang ngày 18 tháng Giêng. Khác hội mùa thu tháng Tám giỗ Đức Thánh Trần.",bien-tap,
le-hoi-cung-bien-my-long,Lễ hội Cúng biển Mỹ Long,Mỹ Long Sea Worship Festival,lunar,10/5,,khong,tin-nguong,minor,0,2,"2026: 2026-06-20 đến 2026-06-26, chính lễ 2026-06-20, https://nhandan.vn/ron-rang-le-hoi-cung-bien-my-long-post971791.html","Lễ hội của ngư dân Mỹ Long cúng thần Nam Hải, cầu quốc thái dân an, mưa thuận gió hòa và mùa cá bội thu, tổ chức ngày 10 tới 12 tháng Năm âm lịch. Lễ cúng Thần Biển làm trang nghiêm trên bãi biển. Di sản văn hóa phi vật thể quốc gia năm 2013.",bien-tap,
le-hoi-den-an-xa,Lễ hội đền An Xá,An Xá Temple Festival,lunar,6/4,,khong,tin-nguong,minor,5,6,"2026: 2026-05-22 đến 2026-05-22, chính lễ 2026-05-22, https://baohungyen.vn/khai-mac-le-hoi-truyen-thong-den-an-xa-3195363.html","Lễ hội ở đền An Xá, tức đền Đậu An, thờ Ngọc Hoàng Thượng Đế, Ngũ Lão Tiên Ông cùng các vị tiên có công lập làng. Hội mở từ mùng 1 tới 12 tháng Tư âm lịch, chính hội ngày 6 tới 8. Đền là di tích quốc gia đặc biệt, lễ hội là di sản văn hóa phi vật thể quốc gia năm 2023.",bien-tap,
le-hoi-den-ba-trieu,Lễ hội đền Bà Triệu,Bà Triệu Temple Festival,lunar,22/2,,khong,tin-nguong,minor,1,1,,"Lễ hội tưởng nhớ nữ anh hùng Triệu Thị Trinh, chính hội ngày 22 tháng Hai âm lịch là ngày giỗ Bà. Các nguồn ghi khoảng ngày hội khác nhau giữa các năm, thường 21 tới 23 tháng Hai.",bien-tap,
